,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
occup,midwife,photographer,shoemaker,athlete,cashier,dancer,housekeeper,accountant,physicist,gardener,dentist,weaver,blacksmith,psychologist,mathematician,tailor,designer,economist,mechanic,laborer,broker,chemist,librarian,attendant,clerical,musician,porter,scientist,carpenter,sailor,instructor,sheriff,pilot,inspector,mason,baker,administrator,architect,operator,surgeon,driver,painter,conductor,nurse,cook,engineer,retired,sales,lawyer,clergy,physician,farmer,clerk,manager,guard,artist,smith,official,police,doctor,professor,student,judge,teacher,author,secretary,soldier
1970,-0.06685861241648461,-0.12374839730402465,-0.034981469341132665,-0.03319093678021923,-0.020364746263810907,-0.002448268712915369,0.03177410410671533,-0.048940602198378036,-0.11077125756874684,-0.03998042708068705,-0.04736237756915407,-0.08644381398915435,-0.0857580138158478,-0.02571609963688437,-0.1038501093181533,-0.017073827607649528,-0.06764161438237515,-0.10739592804655174,-0.05556530347510025,-0.05835113776027512,-0.037499426378859835,-0.03368247693640536,-0.0695356719928204,-0.025235597846634872,-0.061897728254319495,-0.08693788709228512,-0.06616614130884835,-0.07116921001835885,-0.03983087805021035,-0.02623922413644142,-0.09072925268728715,-0.1343734877858329,-0.11557237476137372,-0.12334500386836744,-0.08311906838204719,-0.0866921575203955,-0.10806660668954315,-0.09585720579071577,-0.048966348899985856,-0.07720868670423875,-0.039993570325612016,-0.046610487695550096,-0.0770353499207087,0.06785541962460206,-0.0364996553727408,-0.12188959065172178,-0.10883901812523933,-0.03375955804710884,-0.08605809140533538,-0.07954345733080448,-0.02683411603463748,-0.05585752137686284,-0.08087796545280224,-0.10688324766498158,-0.09998900551609502,-0.04552772554152018,-0.07035231088229921,-0.04436112762419331,-0.07099413136430133,-0.010937846030835252,-0.07655650330484787,-0.04558048183455321,-0.046079307908993616,0.0008299475512629773,-0.051491056237788935,-0.07593458371026696,-0.11192460348308608
1972,-0.08573859298024988,-0.09547362479889165,-0.11404763733324164,-0.0793686888744124,-0.06520320079287734,-0.044850897913365495,-0.044177510623218175,-0.13760432484892993,-0.12441963228507857,-0.022821775010178347,-0.04933372706330119,-0.090519829153902,-0.09602667967104739,-0.07379497257950585,-0.09054328947712653,-0.0437220075286916,-0.07709229938698314,-0.1233966051198796,-0.10321566224208067,-0.08459596626267463,-0.10459155605133996,-0.11257811262410422,-0.09447575150648846,-0.039538235073682815,-0.09795813455070512,-0.05715985424877568,-0.06026484522844078,-0.11295582556716,-0.0748298957981991,-0.035068065011140126,-0.07081777988187854,-0.08102053818679145,-0.10362676180926611,-0.0817777502501369,-0.10140083493930652,-0.1132631743147382,-0.11714646312048604,-0.1262806062150732,-0.07469032654599328,-0.023097432235440918,-0.08377424374840037,-0.035896045553605926,-0.07668563217549063,0.09856855179636248,-0.06855478990666852,-0.11984129365715701,-0.12416923085431986,-0.06614790841424001,-0.0868807164636296,-0.11322155333373929,-0.08622862520559782,-0.06994433764953678,-0.08787857102000995,-0.1083696858065526,-0.11008069064068005,-0.06646940456585126,-0.10628623177481578,-0.0787357002372353,-0.08851237197137807,0.02787534215039633,-0.006331572320587009,-0.06406194404708265,-0.09000719844545269,-0.02512091039671438,-0.07441114707202423,-0.06445672427747318,-0.09916339183849332
1974,-0.04651576737279073,-0.11238872866727123,-0.03333502821742684,-0.0115141437870655,-0.030472015700629296,-0.027526634705577258,-0.003904360105736804,-0.04028457177685629,-0.07924091641329345,-0.026796640284552864,-0.04500242579016733,-0.08267080007436822,-0.08886233700316026,-0.04195684811014588,-0.049736600749108795,-0.04860408193597354,-0.06415159187733221,-0.10304479234215103,-0.08455995954876472,-0.059457540991584845,-0.08050125667822983,-0.0483811533904428,-0.07206767082163368,-0.03194142143085532,-0.046164373367028166,-0.042574570421651026,-0.04725524034623352,-0.04398959573971628,-0.06445792700392472,-0.01319705655594361,-0.021484926289356387,-0.10423487422008881,-0.09948612004182267,-0.08650077385278365,-0.09415058310981239,-0.10220468117805415,-0.07559893376095317,-0.06201776209827092,-0.06610852813792689,-0.055719010479391096,-0.04991822168579041,-0.04500036279531405,-0.06847121258153588,0.09809346680161679,-0.04611030588661791,-0.10054231362800248,-0.08814820456367167,-0.043366449301244225,-0.06679611444472233,-0.031192685914899432,-0.005676244520299023,-0.06229774005298738,-0.0735612346892438,-0.09227953178013937,-0.07223303062046627,-0.028740385028540816,-0.07799971485378288,-0.06219439849499975,-0.06579157134174018,0.03190932294674209,-0.04160527817929949,0.03367789767865337,-0.056530997981716125,0.043494844292613966,-0.02737744736601877,-0.06684646997487997,-0.10738846418118042
1976,0.02945655647953449,-0.07368716969630451,-0.028843594980130338,-0.03964348023747555,-0.0006830912103288345,0.03753902827471156,0.016909270314918956,-0.023202063460596833,-0.07033218310911404,0.006994302325452395,0.0074200974626239535,-0.0661999482423824,0.003266136772104522,-0.031171715747798867,0.005364249053201431,-0.05425409251873592,-0.062275271461281756,-0.07138300145044363,-0.06810536606226103,-0.02866827486373502,-0.08578635183410399,-0.0518215344269094,-0.06590833570611976,0.002754306415408192,-0.05329313653652812,-0.01819228055027955,-0.01779333581755793,-0.07090505304229267,-0.04637484149783877,-0.013936824887443078,-0.05943283515694664,-0.08283980403952418,-0.05813985815176981,-0.07394715718849865,-0.03501988570263159,-0.11017696195659732,-0.08460902495155709,-0.07709905537996742,-0.0015493705679002767,-0.012288394550925008,-0.014956727502613787,0.001358286008715237,-0.05641474298873317,0.06331160587042917,-0.015048572224124257,-0.0672548534433054,-0.09867967441474723,-0.04929642502594711,-0.05411623248818653,-0.04817287221707911,-0.023715640910317304,-0.011895789969314063,-0.030423443323801203,-0.06505537674789585,-0.09665985801461185,-0.015042626885164667,-0.07670658683021714,-0.054844837540632296,-0.047392022004160816,0.04344153219247593,-0.014967127344640896,4.859063140760789e-05,-0.04832274268554415,0.01240533602088989,-0.04668008526824807,-0.0721911957904815,-0.10957047339042436
1978,-0.017260255216686726,-0.0650729753380267,-0.02363248974969001,-0.05249958872487437,-0.041869621543726865,-0.014522161993975935,0.005485441448259909,-0.04547301292041528,-0.06917026150844074,-0.0023126530106283294,-0.03501555896627295,-0.055850031805865785,-0.019185766771320556,-0.01961321094581392,-0.037418925714647555,-0.039547301262085055,-0.04173815240882073,-0.10345374471656488,-0.032199196867122803,-0.049435276264406136,-0.06080625510000781,-0.07081055471264508,-0.005605458100108374,-0.02961209336996129,-0.049537705278609456,-0.03287637943762001,-0.03817229894234875,-0.0750393265403273,-0.05418036772730439,-0.06672897781842446,-0.0400000579081069,-0.09446101634768989,-0.07511567735060298,-0.09075836575068474,-0.017844641233622616,-0.06906995299714558,-0.06750187993393497,-0.06596193838801401,-0.030557188465840657,-0.02234921876876239,-0.057789530115577414,-0.04283612518296631,-0.06625213617918735,0.03677493153318956,-0.0411027627420677,-0.08184047628839342,-0.09240451567465113,-0.043433227687333265,-0.08987966467950004,-0.05850073838787295,-0.08588905827927484,-0.0908087238834192,-0.03821186419780587,-0.11817502243592692,-0.06202952399381567,-0.07067042593464867,-0.10240751796244008,-0.06568915290149024,-0.053699457030349174,0.025590357205696024,-0.05321485792023373,-0.030715041938615406,-0.06663373973422715,-0.0367664081603597,-0.07125990837580776,-0.06494818806455338,-0.12142131128442502
1980,0.022978236230551174,-0.08004273718233013,-0.12835835294338627,-0.04572435143872522,-0.09056217936899447,-0.0674092878313397,-0.04018321004632219,-0.08114496446039376,-0.10272710385173034,-0.07574503791474074,-0.06959644176466528,-0.09828398371311409,-0.06650304145258357,-0.07966147363558562,-0.06732494184223459,-0.10016398068818255,-0.06029591851525562,-0.1363585177971106,-0.06095385866720082,-0.07242104638443492,-0.116366306842146,-0.12131046198214168,-0.10233092660446741,-0.019483706535220247,-0.10829701696422955,-0.06926872255083083,-0.0879299441697422,-0.09359351873174226,-0.09694498935964657,-0.026483064861583472,-0.054462165264938744,-0.11145262229221331,-0.12115450372338088,-0.11916788417789814,-0.10272371389299095,-0.1114381653499471,-0.07010315781174348,-0.0994659827853791,-0.08759412042998205,-0.06516177647801324,-0.023704070883668216,-0.04361629230771524,-0.07874734633063707,0.058345721475535295,-0.020964669886528786,-0.10438614780495747,-0.10503092469279662,-0.06229804903285685,-0.09537498698566127,-0.12656845432718622,0.0023405244225725985,-0.09921964587105103,-0.054080088784993485,-0.10532754328925475,-0.11247451555015486,-0.0508274413678621,-0.10061873863626025,-0.0628157343219854,-0.05915675225066219,0.01064584442336558,-0.04988372039179678,-0.00576523873141821,-0.034411189327006375,0.0009205863898873456,-0.07175339936524716,-0.09381405228630924,-0.12956929405103346
1982,-0.01706428914467406,-0.03733174118126814,-0.045058354472297224,-0.028500512708500292,-0.010380985766375805,0.04875479737547139,-0.008165606539978332,-0.014166681011946514,-0.09786939817934459,-0.028501523027293918,-0.04783846936561753,-0.056086957906837265,-0.030552585828612755,-0.020293130861529507,-0.06671796436999289,-0.005042671878006,-0.011475806148059986,-0.058452462847286,-0.018138454877003163,-0.04850593798034197,-0.04083334282746265,-0.05667330849988894,-0.0575365513842333,-0.007177383154156947,-0.03090474624431372,-0.03553640292168647,-0.03499208345878313,-0.09657960912579078,-0.0467597678023608,-0.046835098171208345,-0.026985178848572766,-0.04475790680994074,-0.07984991845922174,-0.06902444347937065,-0.04032574033167591,-0.05703460864528331,-0.036277976685129665,-0.062169112222526524,-0.0130498168878187,-0.036820243213333215,-0.03478409176732933,-0.062493615509677136,-0.04552607101376249,0.04516374085768604,0.009579873225182167,-0.07044499818923611,-0.08836776936131963,-0.009666570660660456,-0.04652936003682173,-0.05177295217133837,-0.030172861118324956,-0.004967961367511653,0.004791439806422049,-0.06735607690758916,-0.10287652798884828,-0.043617345261062646,-0.08661184903086716,-0.042043454924966195,-0.03645138694369188,0.012471645046514657,-0.08363816706286553,-0.0037017486059308657,-0.05594848139647701,0.01391131461302364,-0.06727108744919297,-0.053347681116351575,-0.033044828919169045
1984,-0.0006423568817652825,-0.025513817686532603,-0.05194969540901928,-0.009689444653735557,-0.015394273075467146,-0.019785901706481313,0.008276321823772692,-0.06516094670713446,-0.07662321464433908,-0.01646267066188356,-0.016109635277443468,-0.01863286252005636,0.01712911269373041,-0.04333057757096681,-0.047387672226902544,-0.033727328970693304,0.0018052488649727971,-0.07695518936043055,-0.050451140345269097,-0.03712932800429192,-0.05560219456302817,-0.030108517800761847,-0.017167019844365417,-0.04312509200007619,-0.015133674231359584,-0.030947112926927645,-0.08325406485499354,-0.07091816370808113,-0.05403566155591921,-0.04011056713032701,-0.029741223124754135,-0.04144183957676095,-0.0663401043544306,-0.06040486148858726,-0.045945686798657404,-0.08338922892425993,-0.05375131449621484,-0.045240624807251106,-0.04947492427386202,-0.06456189391791811,-0.040099245516415305,-0.03255246150397917,-0.032070278505677674,0.09342875731711131,0.04247967115730367,-0.08190789704835588,-0.08749712105370577,-0.01061675430566078,-0.09276101310259732,-0.04952758570721194,-0.04738764470284662,-0.056117296255394744,-0.02567541115862404,-0.08822824490216818,-0.08167471601271215,-0.02064003724431951,-0.08071864450961586,-0.04203979903473365,-0.04893288344344093,-0.015225147426987773,-0.07085917249725038,-0.01602633703928391,-0.04931952096557668,-0.023535779548940927,-0.07290086456228717,-0.08010129317485626,-0.07784987679927158
1986,-0.038873568501297084,-0.07979390956400922,-0.030364808016047906,-0.05017612643177438,-0.04726534165047158,-0.039115312777584066,-0.012555219374983717,-0.037028160847974556,-0.09474416581650524,-0.035244311162184516,-0.01913859408358387,-0.009972653888882799,-0.04632461989037939,-0.03559571016091989,-0.06219552748632606,-0.03908301489258048,-0.02262418451914394,-0.07504121123191487,-0.09989784597715723,-0.03633144253583254,-0.07428100184145048,-0.0615098356124445,-0.056632779783942766,-0.028561289958816682,-0.04212549937462584,-0.025622497428113955,-0.05792382379478567,-0.07056463500655141,-0.040352114045397736,-0.05640321806008486,-0.04217231170627511,-0.08861725909132845,-0.07269886845234119,-0.08277398953333037,-0.09935764014371351,-0.0636486844904317,-0.07922404929646543,-0.09686979017048336,-0.07694971936113693,-0.09535838583014233,-0.08077389371014276,-0.044568214552493046,-0.056583332441946355,0.05774097902725073,-0.006948631843586184,-0.10014413528645749,-0.0946231952341533,-0.02265241705772003,-0.0589731757396198,-0.058584883604405724,-0.014710341227433421,-0.05860066412281861,-0.04974287680427114,-0.07224522271858635,-0.09264008088781317,-0.039777299399187505,-0.11027869581022054,-0.06531408982771636,-0.06196905099933259,0.006390827776446839,-0.04772252334409133,-0.01786179687397671,-0.07012629922055347,0.0013152368291826644,-0.05278164752572334,-0.06799561558043232,-0.11066761456291407
1988,-0.0018941896696501592,-0.018497832614278176,-0.002783256998342587,0.015845814127680047,-0.0400122714231983,0.05688595548256736,0.04887141003398188,-0.03568912548000314,-0.04047538911702986,0.010698092716479257,-0.00041517141768132593,-0.0634279177846051,-0.012562930364436675,-0.03359259620889288,-0.05675865029061711,-0.014973206245043946,0.004074155781262578,-0.03829301887757741,-0.053627901669344724,-0.03928497572486345,-0.03624991133225586,-0.04852745837068295,-0.0007351621300482059,-0.05476813902474331,-0.0015681749741158768,-0.022729143124081808,-0.013243213951196653,-0.03807694525868277,0.001317025206813649,-0.05249536365096563,-0.023983403912803736,-0.1066019339234846,-0.08066682079018828,-0.08747798508718474,-0.058513861824901925,-0.07694556101457284,-0.08496505304165791,-0.07527163787607927,-0.08042464218714573,-0.028922990797423442,-0.08765887476263734,-0.004361904913336656,-0.027339795684859558,0.045308730929402796,0.03614155747671555,-0.0641730434768043,-0.05728186211823827,-0.03113802219072026,-0.08113207703861092,-0.04557323567282345,-0.02439362237343612,0.006477096853606645,-0.05990263601986867,-0.07212474324831286,-0.0985796047620483,-0.012448683174727804,-0.053223109992097783,-0.049814877984956984,-0.07190240092245703,-0.024786933996430283,-0.020738757546504005,-0.011046737325776546,-0.0823500369765684,0.02047170851414082,-0.02485400043874275,-0.07519135610054406,-0.10374058424122401
1990,-0.01728554951050587,-0.054085277919637686,-0.026318793104423865,-0.010013231569727776,0.012291488723894184,-0.003380443927754828,0.004595465081692507,-0.0471958768252404,-0.040669507448350184,0.01676495408509404,-0.021532992967319364,-0.04032276035535154,0.013441399310370028,-0.025872865638436493,-0.025920459780649052,0.0008584607304501501,-0.018810114751071416,-0.06974140386412053,-0.02912875383337976,-0.012907696881713782,-0.034754355485157484,-0.016987280523933168,0.024269699458387972,0.037965297905976914,-0.016979844533039246,-0.002153089379350659,-0.043528885825893426,-0.0436625083304647,-0.050398016030140935,-0.02202974320441098,0.0014064033349928673,-0.03856513213872337,-0.024842027676254652,-0.030759169713696632,-0.049939589581748156,-0.08829686004136539,-0.0418469861640931,-0.0758953682616117,0.027366487748527013,-0.029110261925935244,-0.02665222107046361,-0.03014665169211106,-0.04456904014826002,0.00798926472347572,0.04539128517452218,-0.04805372094854721,-0.06935067431511355,-0.009363470057526913,-0.07111093942021518,-0.01671822391219857,-0.04288821125198028,-0.045494525285081244,-0.008391198973847769,-0.0413111258207961,-0.07448147594174581,-0.027370824489795997,-0.07616216778638585,-0.047429748001074135,-0.04427101883994622,0.0129426779790065,-0.021266084794098195,0.006815422795752424,-0.0350095060413016,0.026976553047714957,-0.07079955790071446,-0.07592894006947715,-0.04023317638472357
1992,0.0062845039546076675,-0.04959444978883376,-0.03311389216399452,-0.07168575870929739,-0.019433977523261592,0.008886297919114439,0.056000584743139625,-0.05917879856502162,-0.08296105227759099,-0.00044023873132303937,0.005955439683055674,-0.09108848840507133,-0.034026127928246996,-0.014427401028412112,-0.0583201678427121,0.004108244630089852,0.01951508019386039,-0.07047373409609548,-0.07700484211464254,-0.02733750886520292,-0.03824690816246745,-0.011516105991042469,0.01554639458477336,-0.005255044873405668,-0.02173777425839518,-0.07494600637052418,-0.04022479459004902,-0.039836729180563135,-0.0006662841381276374,-0.0519545636295754,-0.0038530410515638103,-0.07099925579346578,-0.10532857973760512,-0.04066706547250809,-0.07416445460495646,-0.06695069417861033,-0.05027874284309919,-0.034742848617809075,-0.0213858756160894,-0.03597052395221334,-0.07747649945703117,-0.041738558492234956,-0.03361517616308174,0.075491631932595,0.0067320191114156325,-0.0849012346912188,-0.07758190860234049,-0.05631264667031144,-0.06756170060364874,-0.014302933935434803,-0.0021224935898940256,-0.099974635716648,-0.016444639401649086,-0.07470017673367968,-0.047129487611689336,0.002459264528352989,-0.04564151666088434,-0.03976435679763013,-0.04643718800433727,0.018810709148385008,-0.006528509874888844,-0.024091935399883968,-0.035226225843152714,0.035795571780917856,-0.023983539301767998,-0.02805152910481301,-0.0826387082333856
1994,0.051681371317620295,-0.06274706838650845,-0.0378234542372734,-0.049129021886167856,-0.003025956496800375,-0.028227882213789357,-0.03652442695556346,-0.05119226769737184,-0.05127045125027796,-0.013766341275561644,-0.029208681622650223,-0.017687138275763736,-0.02244697708405685,-0.016900191217100624,-0.05326892387165605,-0.046731807787079416,-0.019831917202144056,-0.03757408559851205,-0.0507497320346364,-0.05206996896549321,-0.05409580348512111,-0.049179578253027434,-0.03516482648084829,0.010591435977886143,-0.03638295184045093,-0.06991678420110259,-0.032112209646256495,-0.04573781300964386,-0.04083182191150847,-0.04083297216878956,-0.02816704153785643,-0.051089222581397364,-0.06693237587834255,-0.05006105719361553,-0.04170982358165298,-0.059273818295955905,-0.04035610851123661,-0.05763693136324599,-0.05014100089981677,-0.02535868770437033,-0.03540559476239802,-0.043799267432930944,-0.024935541605075273,0.05897404928157479,-0.016468898897415096,-0.06265332558630987,-0.04307511948325926,-0.03965266325162675,-0.04926768510419932,-0.023106431897813473,-0.00025493628703487925,-0.05347712377208469,-0.024056724233486038,-0.07179014728116762,-0.0656864348823809,0.006127744954740999,-0.0560889164160161,-0.040677759003580505,-0.04043751894824654,0.024962351862527377,-0.026615713340017444,0.02080978883211415,-0.05199539342388648,-0.0228872844406669,-0.043516819601603585,-0.03422985264571898,-0.06875481761950075
1996,0.003833057450403188,-0.07083235439136404,-0.03500313230145724,-0.040750571465608565,-0.01765797408245451,0.009295862888717532,-0.006488644273337285,-0.06958601273480425,-0.0766814477903408,-0.03509551316914883,-0.029087223460115497,-0.045899986222197375,-0.014114275075975069,-0.024457223242410064,-0.019623205881045824,-0.0185750261167128,-0.00222381928304749,-0.06334011135449624,-0.07742833272334004,-0.08119548964592016,-0.06197081073446187,-0.033616526645794176,-0.047148208847661244,-0.043656742193218134,-0.059269399039756254,-0.04491680637046025,-0.06989697435769238,-0.07973088253372151,-0.0946735288589382,-0.037571244021703976,-0.029996044839175173,-0.07289111198496112,-0.08282882803188896,-0.07211342536039689,-0.02245476703657534,-0.06385964578206604,-0.050398002599217895,-0.052902735052350325,-0.05252900802795235,-0.053001960685458704,-0.04268811380558546,-0.02481915103232335,-0.07355648719052943,0.029066213211132452,-0.00756624215819679,-0.06107008260790825,-0.06158553617859175,-0.03347047567018269,-0.09015368442865945,-0.044775963238567584,-0.03647318868998095,-0.06825638408042956,-0.04712723127991991,-0.06473914136088388,-0.0959501372758329,-0.038045647268283855,-0.0833188587343675,-0.06023654480235607,-0.05766647059218499,0.00851220369808725,-0.023647559400550966,0.0024133620706129344,-0.04108628927456193,0.0292513777607597,-0.0008932884688342968,-0.059207057925365514,-0.03596441544863094
1998,-0.017171546648756975,-0.02501195444800719,-0.05358814530055711,-0.03258215812629084,-0.024274513871220815,-0.01138319622028472,0.013715932702285216,-0.043805859963740645,-0.0977752101151812,-0.04534002583356134,-0.030872706729863753,-0.06649843297180236,-0.03535030905549741,0.02485106469598075,-0.06035186062976028,0.01730984291705373,0.016790908182809594,-0.060097805902743384,-0.0960687075519514,-0.029446448775108713,-0.09287207136019127,-0.09803620898210674,-0.03482712129662524,-0.0109411514508444,-0.04982346872852783,-0.06797684300606976,-0.07201270432798645,-0.05857836894705526,-0.061626211695660404,-0.04360836189021167,-0.023031984831098917,-0.06881988261365757,-0.08905698529612383,-0.06705464691739171,-0.08027547792318657,-0.048986249206997345,-0.05046197214686021,-0.061221907752025406,-0.045652111892385605,-0.03096118644160828,-0.07844314347800518,-0.05221819101042979,-0.043757166740273745,0.08343218512308459,0.0019508445465163948,-0.08558962277755833,-0.08772560922005024,-0.03803244521439009,-0.05004658927475614,-0.038530491264505806,0.007086585581812077,-0.062145614798677196,-0.049431883245757535,-0.05987646634734589,-0.0839331976407397,-0.02250728853565942,-0.0400776266051176,-0.041895271621655295,-0.05731606343178386,0.016393674365675293,-0.016087548616582792,0.0009589614716108974,-0.07026261764937936,0.03907847076764914,-0.008090022919960305,-0.04687888651828631,-0.07729614169758581
2000,-0.004369872482002601,-0.02170491784327655,-0.050129357199444446,-0.01841084233428192,-0.0025894112730575625,0.013579368268339609,-0.023324975322363217,-0.039717678717238525,-0.06676152932528756,0.001323050439329676,0.01775087359806249,0.00952172066476975,-0.03003169107027892,-0.019720792604794868,-0.04825037016968259,-0.048606639683449804,-0.012954468555941623,-0.06751869377415098,-0.0095156083978708,-0.023591285565565223,-0.07470656797152431,-0.032072088657315034,-0.028042663809963453,-0.05845734139386205,-0.013983246912945502,-0.021005621819565556,-0.060383224020615245,-0.0569176215269549,-0.04601883389482664,-0.022343735731221948,-0.054566819093390784,-0.05794494111113535,-0.07339323105856155,-0.06745896801168927,-0.05874875038876204,-0.0605179787539748,-0.027328991809933534,-0.06327621102108438,-0.04126388367800127,-0.05400971440149793,-0.05380557230642147,-0.0023849888931111174,-0.0699242916652878,0.05017552247083501,0.008179706251303154,-0.08669910913861667,-0.05730969804148367,-0.019860468381213803,-0.04005487778979144,-0.029148100971795765,-0.003262764282603081,-0.032047393221541265,-0.04417183229004662,-0.05219766673572224,-0.07608403026179367,0.016766218784919684,-0.03480555960996368,-0.04493031205900144,-0.039484810493214284,-0.00040202417064305607,-0.04474129471435595,-0.001617195628134227,-0.05334788885104835,0.0232990612630678,-0.02507079094820175,-0.0819440372216893,-0.13572312520855956
2002,0.013685039896435991,-0.026428039844179407,-0.00528305217386027,-0.03410740276667945,0.002433294500180927,0.039319562469749325,-0.01484340971376752,-0.06322796604423953,-0.057320460127292416,0.0035056241040176683,-0.027384095560919475,-0.01468680477058848,-0.03599540148690916,0.027885107529965203,-0.03753071869418767,-0.026765648771373995,0.03614358559750708,-0.05965577780244813,-0.06202299898787211,-0.03229604481353421,-0.045918903218500784,-0.024954565723776412,-0.007359707443724273,0.0022536949988761767,-0.0703395934448725,-0.0012763670144780859,-0.015776120416831185,-0.0552691074928896,-0.06736045912420907,-0.01979867277915559,-0.007588674361851067,-0.04870280051539244,-0.05790596158799621,-0.0682573148623764,-0.04041412990594495,-0.048188931792857326,-0.0593711082924715,-0.030247228884185517,-0.06604851586332072,-0.02525836250084812,-0.037804351447795925,-0.007449115782796389,-0.02683416565938168,0.04547085063468137,-0.0033755630399306957,-0.06351874420679327,-0.07093074566509217,-0.02729430132802091,-0.03508492365152582,-0.04264833767027054,-0.004812115462300981,-0.07487683456264971,-0.05468399230323451,-0.04514615918808684,-0.05751861607221087,0.002815611875814472,-0.019003240768913576,-0.06094114834803044,-0.033919517729183446,-0.0043528444311626835,-0.038451810175130996,0.034041958655126936,-0.037629499824428536,-0.00045501983395523915,-0.01801887574341976,-0.08872771515187738,-0.1056255018042096
2004,0.05430244925847871,-0.041875507227689845,-0.06485091801589782,-0.028869572078425,-0.012127690229258858,-3.428049515719067e-05,0.012684483411705694,-0.053950315548023764,-0.08163809266462096,0.01199286803569033,-0.011956167728173872,-0.033687001413812534,-0.019159406914198485,-0.009027322269974714,-0.07812918499829902,-0.04659137403348956,-0.006794862392943135,-0.061397466230883824,-0.04283424535447811,-0.03365728950551261,-0.08375882719741046,-0.05179323672099423,0.008299316841786752,0.010943348994599367,-0.05726172399298213,-0.051610712407367365,-0.04409676175203647,-0.0466104754038319,-0.07804219648141342,-0.05807047658560471,-0.02367817464399402,-0.04377298212967062,-0.05282485757525601,-0.04167039009260021,-0.05788905166219549,-0.07650445178335685,-0.05989852788883532,-0.056955271693629905,-0.02517384960354263,-0.0420158943379596,-0.028660061446221352,-0.024483295132145866,-0.021682685620248554,0.059675023403927274,-0.00127997773848465,-0.08819385941870894,-0.08513041993123904,-0.018827686359425444,-0.07798454724120996,-0.03788051593139763,-0.016802580100458542,-0.0637960031119682,-0.01966175422327343,-0.06390864163477727,-0.05778839504252242,-0.00414147651894925,-0.055444200169868396,-0.0490392843067764,-0.039207437414077284,0.013165918042415736,-0.023666062744194805,-0.0050377199362571234,-0.041397133144247644,0.012067928127645788,-0.017512403372294982,-0.06870038121505162,-0.0676411526094145
2006,-0.02049016869007525,-0.01006077217468837,-0.012146984167202612,-0.021289776435256313,-0.026501440868414883,0.0031241180646813804,-0.000962798535133258,-0.017318140243444913,-0.0594685318493845,-0.01637807855862461,-0.013416112159163718,-0.06702146639981044,-0.034909885327968015,-0.0036151781481694734,-0.03583362168925086,-0.013587842511836978,0.030687193368003518,-0.061262534097394794,-0.049021576655489674,-0.034820821491968745,-0.032120155720660626,-0.03288567593862468,-0.03561791173165063,-0.03868336099521341,0.0010524724336252733,-0.009271521276014605,-0.056071780407634386,-0.04242791406444846,-0.054012357277088974,-0.054350027883657726,0.001813002349453141,-0.07234480295122592,-0.0823742248657281,-0.07421370084243206,-0.06271757875577078,-0.08915151086584372,-0.013221714871161527,-0.06282568371241959,-0.01779651098796775,-0.01771091023029092,-0.03082291567107065,-0.02130948188272297,-0.04475762204916289,0.034019967213752667,-0.009675419072155744,-0.07677318624810714,-0.07316763992127107,-0.011050486282560446,-0.06252699750933144,-0.015482582339523043,-0.021597420556777935,-0.014021686544392398,-0.03656910061239915,-0.06793904522733185,-0.07615541777192458,0.034524778700987135,-0.0391298810539118,-0.04170350154669622,-0.043418523986766266,-0.005699778101798447,-0.02146324945789857,0.013375193195450996,-0.041503822004555935,0.03335546116190158,-0.0024801708712123283,-0.08211554137414634,-0.14231702623523068
2008,-0.023831133604382715,-0.0007591634790558022,-0.04487968197769765,-0.044999567618666525,0.016317346883990447,-0.02088496775809534,0.050102289680887147,-0.050520971170333384,-0.050913386621742385,-0.03933095463051062,0.010994578602020244,-0.022137837074865274,-0.029641871836367906,-0.021807982089164457,-0.025829057939244504,-0.0439466223293945,0.011249904202941252,-0.06396217320699693,-0.056156703070278535,-0.03681065985356191,-0.04499717158771288,-0.02001016560193747,-0.02009955345934633,-0.015001122295777547,-0.030524136136737767,-0.012052845709639937,-0.020548366752485392,-0.0537954184133993,-0.053386314738722684,-0.04966738370219781,-0.016485452920399934,-0.0610810659165828,-0.07027143848366857,-0.04502316062963985,-0.0626319030841701,-0.06558867606544805,-0.05828807194925434,-0.06488178311775294,-0.013544920445640152,-0.027899119053429344,-0.03900110011270819,-0.01645139500694104,-0.025035032533374024,0.052162363670078316,0.029896717514359183,-0.09366853659549579,-0.0670013806275842,-0.04209970444464384,-0.07638782548345746,-0.035036874094768855,-0.016880442662142947,-0.10798694567215994,-0.02790175329526945,-0.08441732212525244,-0.08618620431470125,-0.007821690124847347,-0.07952799670315158,-0.06407393703823705,-0.06732705976386233,0.011005838322902584,-0.013884838799193777,-0.035127347919340135,-0.061481557782538165,0.005909462749953631,-0.042408045858727594,-0.07085069232755326,-0.09364981929033622
